"transaction_counts_id","book_id","times_out","is_indeterminate"
"1056","4586","57","0"
"1057","3820","57","0"
"1058","5403","57","0"
"1059","11089","57","0"
"1060","8026","57","0"
"1061","9969","57","0"
"1062","11076","57","0"
"1063","5231","57","0"
"1064","8724","57","0"
"1065","1066","57","0"
"1066","112","57","0"
"1067","6582","57","0"
"1068","5639","57","0"
"1069","535","57","0"
"1070","5863","57","0"
"1071","5351","57","0"
"1072","2048","57","0"
"1073","10749","56","0"
"1074","264","56","0"
"1075","10060","56","0"
"1076","4027","56","0"
"1077","1340","56","0"
"1078","10654","56","0"
"1079","7604","56","0"
"1080","5995","56","0"
"1081","2829","56","0"
"1082","5566","56","0"
"1083","750","56","0"
"1084","6608","56","0"
"1085","7641","56","0"
"1086","5425","56","0"
"1087","2803","56","0"
"1088","7613","56","0"
"1089","6376","56","0"
"1090","1484","56","0"
"1091","729","55","0"
"1092","11694","55","0"
"1093","682","55","0"
"1094","474","55","0"
"1095","4715","55","0"
"1096","137","55","0"
"1097","6126","55","0"
"1098","1296","55","0"
"1099","5839","55","0"
"1100","7611","55","0"
"1101","3956","55","0"
"1102","142","55","0"
"1103","595","55","0"
"1104","3138","55","0"
"1105","5156","55","0"
"1106","5560","55","0"
"1107","888","55","0"
"1108","11101","54","0"
"1109","4712","54","0"
"1110","5400","54","0"
"1111","3515","54","0"
"1112","3309","54","0"
"1113","3294","54","0"
"1114","11698","54","0"
"1115","10754","54","0"
"1116","10001","54","0"
"1117","9346","54","0"
"1118","7609","54","0"
"1119","7817","54","0"
"1120","3505","54","0"
"1121","6064","54","0"
"1122","7626","54","0"
"1123","2239","54","0"
"1124","355","54","0"
"1125","1628","54","0"
"1126","5092","54","0"
"1127","10073","54","0"
"1128","5446","54","0"
"1129","2047","54","0"
"1130","7521","54","0"
"1131","6828","54","0"
"1132","11693","53","0"
"1133","6073","53","0"
"1134","11390","53","0"
"1135","4953","53","0"
"1136","3963","53","0"
"1137","4202","53","0"
"1138","3676","53","0"
"1139","7204","53","0"
"1140","2845","53","0"
"1141","8057","53","0"
"1142","11074","53","0"
"1143","6255","53","0"
"1144","10081","53","0"
"1145","7624","53","0"
"1146","11140","53","0"
"1147","2848","53","0"
"1148","6708","53","0"
"1149","5298","53","0"
"1150","9431","53","0"
"1151","3303","53","0"
"1152","5445","53","0"
"1153","8696","53","0"
"1154","10379","53","0"
"1155","1338","53","0"
"1156","7424","53","0"
"1157","7810","52","0"
"1158","280","52","0"
"1159","2842","52","0"
"1160","6284","52","0"
"1161","4235","52","0"
"1162","5419","52","0"
"1163","636","52","0"
"1164","6705","52","0"
"1165","5534","52","0"
"1166","1910","52","0"
"1167","8268","52","0"
"1168","2237","52","0"
"1169","4738","52","0"
"1170","126","52","0"
"1171","11672","52","0"
"1172","4691","52","0"
"1173","4724","52","0"
"1174","3830","52","0"
"1175","5973","52","0"
"1176","10072","52","0"
"1177","550","52","0"
"1178","4710","52","0"
"1179","2858","52","0"
"1180","7296","52","0"
"1181","504","51","0"
"1182","5257","51","0"
"1183","1534","51","0"
"1184","7058","51","0"
"1185","2117","51","0"
"1186","7315","51","0"
"1187","475","51","0"
"1188","10753","51","0"
"1189","1893","51","0"
"1190","7494","51","0"
"1191","153","51","0"
"1192","4686","51","0"
"1193","6529","51","0"
"1194","1315","51","0"
"1195","9604","51","0"
"1196","7627","51","0"
"1197","7659","51","0"
"1198","7707","51","0"
"1199","7935","51","0"
"1200","5121","51","0"
"1201","2043","51","0"
"1202","5411","51","0"
"1203","7340","51","0"
"1204","10136","51","0"
"1205","11689","51","0"
"1206","4196","51","0"
"1207","1949","51","0"
"1208","357","51","0"
"1209","5654","51","0"
"1210","4694","51","0"
"1211","3960","51","0"
"1212","4008","51","0"
"1213","4455","51","0"
"1214","2859","50","0"
"1215","10398","50","0"
"1216","10847","50","0"
"1217","7814","50","0"
"1218","4334","50","0"
"1219","4687","50","0"
"1220","7272","50","0"
"1221","2833","50","0"
"1222","3506","50","0"
"1223","7321","50","0"
"1224","5586","50","0"
"1225","547","50","0"
"1226","10135","50","0"
"1227","7903","50","0"
"1228","4195","50","0"
"1229","2906","50","0"
"1230","4644","50","0"
"1231","7052","50","0"
"1232","989","50","0"
"1233","358","50","0"
"1234","7603","49","0"
"1235","7699","49","0"
"1236","7860","49","0"
"1237","3533","49","0"
"1238","1016","49","0"
"1239","10129","49","0"
"1240","4909","49","0"
"1241","3312","49","0"
"1242","3810","49","0"
"1243","7369","49","0"
"1244","10839","49","0"
"1245","5955","49","0"
"1246","9077","49","0"
"1247","3285","49","0"
